round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
59,9,13,3;5;6;8,1;3;4;6;8,8,10120,20,10100,0,0
60,9,19,3;6;7;9,1;4;5;6;8,9,32403,0,32403,0,0
61,7,15,3;5,1;3;4;5;6,5,41,21,20,0,0
62,7,8,3;4,2;3,4,97,25,19,5,48
63,7,13,3;4;5,1;3;5,5,97,32,64,1,0
64,6,10,3;4,2;3,4,15,11,4,0,0
65,8,7,7,1;2;4;5;7,7,115,0,91,0,24
66,9,20,6;9,7,9,27987,0,27987,0,0
67,8,15,3;4;7,1;2;3,7,1557,25,1532,0,0
68,9,11,5;7,1;2;3;4;5;6;8,7,3252,42,3210,0,0
69,10,22,3;7,1;3;4;5;6,7,1358852,444221,914631,0,0
70,10,16,3;4;6;8;10,2;3;4;6;8;9,10,241577,0,241079,363,135
71,7,16,4;5;7,4;6,7,21,0,21,0,0
72,10,10,3;4;6;8;9,1;2;3;4;5;6;7;8;9,9,2769,1,1174,53,1541
73,10,21,8;9,2;4;5;6;8;9,9,1251389,6677,1244712,0,0
74,8,7,4;5;6,3;4;7,6,115,1,62,0,52
75,7,10,5,3;4,5,148,24,124,0,0
76,9,18,3;4;7,4;5;6;8,7,34040,3774,30266,0,0
77,10,18,4;5;6;7;8,1;2;4;5,8,596191,18519,577580,92,0
78,6,10,3;4,1;2;3;5,4,15,11,4,0,0
79,10,22,6;7;9;10,1;5;7;8,10,1358852,0,1358852,0,0
80,8,7,3;4;6;7,3;4;6;7,7,115,0,14,2,99
81,6,11,4;6,1;2,6,9,0,9,0,0
82,8,11,3;6;7,1;5;7,7,980,8,972,0,0
83,6,9,4;6,2;4;5,6,21,0,20,1,0
84,7,13,4;5;7,1;2;6,7,97,0,97,0,0
85,8,16,3;4;5;6;8,2;4;6,8,1312,0,1287,25,0
86,9,11,3;6;7;8,1;3;5;6;7;8,8,3252,5,3194,0,53
87,8,17,3;4;5;6;7,1;2;7,7,980,26,836,118,0
88,10,19,7;10,1;2;3;5;6;7;8;9,10,828728,0,828728,0,0
89,6,6,4;5;6,1;2;4;5,6,21,0,14,0,7
90,7,14,3;7,1;2,7,65,0,65,0,0
91,7,15,3;4;7,1;2;3;6,7,41,0,41,0,0
92,6,9,3;4;5;6,3;4;5,6,21,0,0,10,11
93,8,14,3;4;7;8,3;4,8,1646,0,1646,0,0
94,9,16,5;8;9,1;2;3;4;6;7;8,9,27987,0,27987,0,0
95,9,19,5;8;9,1;3;5;7,9,32403,0,32403,0,0
96,9,20,3;8,3;7,8,27987,270,27717,0,0
97,8,9,3;8,1;2;4;6;7,8,402,0,367,0,35
98,10,9,3;5;7;8;9,1;2;3;4;5;7;8,9,1103,0,634,0,469
99,6,13,4;5;6,4,6,2,0,2,0,0
100,6,9,5,1;4;5,5,21,3,18,0,0
101,7,16,3;6,1,6,21,4,17,0,0
102,6,11,5,1;3;5,5,9,3,6,0,0
103,6,6,4;5;6,1;2;4,6,21,0,14,0,7
104,9,13,5;7,2;7,7,10120,225,9895,0,0
105,10,11,3;5;8,2;3;5;8;9,8,6759,10,6248,0,501
106,6,14,5,1;2;3;5,5,1,0,1,0,0
107,8,15,4;5;7;8,3;5;6;7,8,1557,0,1557,0,0
108,9,9,3;7;9,3;4,9,771,0,587,0,184
109,6,7,4,3;4,4,24,3,19,0,2
110,9,16,3;4;6,1;3;4;5;6;7;8,6,27987,8272,19711,4,0
111,9,13,5;6;7;8,1;2;4;6,8,10120,20,10100,0,0
112,9,17,3;7,1;2;4;5;7,7,32403,2884,29519,0,0
113,7,6,5;6;7,1;4;6,7,41,0,27,0,14
114,9,11,3;5;6,2;3;5;6;7,6,3252,189,2975,0,88
115,7,16,5;6,2;5,6,21,4,17,0,0
116,9,20,7;9,2;4;8,9,27987,0,27987,0,0
117,6,6,3;4;5,3;5,5,21,1,0,1,19
118,9,16,3;4;6;7;8,3;4;5;6;7,8,27987,185,27783,19,0
119,8,10,3;8,1;7,8,663,0,656,0,7
120,9,19,3;4;5,1;2;3;4;5;6;7,5,32403,27328,5073,2,0
121,6,7,4;5,1;2;4,5,24,0,21,0,3
122,9,10,3;5;6,5;7;8,6,1637,49,1356,0,232
123,6,14,4,2;5,4,1,1,0,0,0
124,6,7,5,1;2;3,5,24,0,24,0,0
125,10,13,3;7;10,1;5;8,10,34663,0,34642,0,21
126,8,14,4;5;6;8,1;5;6,8,1646,0,1643,3,0
127,7,15,4;5;6,2;5;6,6,41,5,36,0,0
128,10,12,3;4;5;6;10,3;9,10,15772,0,5981,1055,8736
129,8,13,3;4;5;7,1;3;5;7,7,1557,18,1487,48,4
130,9,15,4;7;8;9,2;5;8,9,21933,0,21933,0,0
131,8,18,4;6,2;3;5;6,6,663,193,470,0,0
132,8,10,3;5;6;7;8,1;2;3;4;5;6,8,663,0,632,0,31
133,7,7,4,1;2;3;4;5;6,4,65,9,44,0,12
134,9,10,4;5;9,4;6;8,9,1637,0,1493,0,144
135,10,10,3;6;9,3;4;9,9,2769,1,2212,0,556
136,10,13,4;6;7;8;9,1;2;3;4;5;7;8,9,34663,20,33881,69,693
137,7,9,3,1;2;3;5;6,3,131,106,23,0,2
138,7,6,5;7,1;2;5,7,41,0,28,0,13
139,10,22,5;8;9,1;3;4;6;7;8,9,1358852,8793,1350059,0,0
